〇	líng,xīng,yuán
叫喊	jiào,hǎn
叫唤	jiào,huàn
叫魂	jiào,hún
叫绝	jiào,jué
叫苦	jiào,kǔ
叫驴	jiào,lǘ
叫骂	jiào,mà
叫卖	jiào,mài
叫门	jiào,mén
叫名	jiào,míng
叫屈	jiào,qū
叫嚣	jiào,xiāo
叫阵	jiào,zhèn
叫座	jiào,zuò
叫做	jiào,zuò
轿子	jiào,zi
较比	jiào,bǐ
较近	jiào,jìn
较真	jiào,zhēn
教给	jiāo,gěi
教课	jiāo,kè
教书	jiāo,shū
酵母	jiào,mǔ
酵素	jiào,sù
噍类	jiào,lèi
阶层	jiē,céng
阶段	jiē,duàn
阶级	jiē,jí
阶梯	jiē,tī
疖子	jiē,zǐ
接界	jiē,jiè
接口	jiē,kǒu
接龙	jiē,lóng
接物	jiē,wù
接应	jiē,yìng
接种	jiē,zhòng
揭载	jiē,zǎi
嗟叹	jiē,tàn
街道	jiē,dào
街灯	jiē,dēng
街口	jiē,kǒu
街垒	jiē,lěi
街门	jiē,mén
街面	jiē,miàn
街衢	jiē,qú
街市	jiē,shì
街亭	jiē,tíng
街心	jiē,xīn
街子	jiē,zǐ
孑孓	jié,jué
孑然	jié,rán
孑遗	jié,yí
劫持	jié,chí
劫道	jié,dào
劫夺	jié,duó
劫机	jié,jī
劫狱	jié,yù
杰出	jié,chū
杰作	jié,zuò
洁白	jié,bái
洁癖	jié,pǐ
洁身	jié,shēn
结壳	jiē,ké
桀骜	jié,ào
桀纣	jié,zhòu
睫毛	jié,máo
截断	jié,duàn
截稿	jié,gǎo
截获	jié,huò
截击	jié,jī
截留	jié,liú
截流	jié,liú
截面	jié,miàn
截取	jié,qǔ
截然	jié,rán
截瘫	jié,tān
截肢	jié,zhī
截止	jié,zhǐ
截至	jié,zhì
截住	jié,zhù
竭诚	jié,chéng
竭力	jié,lì
羯鼓	jié,gǔ
姐姐	jiě,jie
姐妹	jiě,mèi
介词	jiè,cí
介怀	jiè,huái
介壳	jiè,qiào
介入	jiè,rù
介绍	jiè,shào
介意	jiè,yì
介音	jiè,yīn
介于	jiè,yú
介质	jiè,zhì
介子	jiè,zǐ
戒备	jiè,bèi
戒除	jiè,chú
戒刀	jiè,dāo
戒规	jiè,guī
戒忌	jiè,jì
戒惧	jiè,jù
戒律	jiè,lǜ
戒心	jiè,xīn
戒烟	jiè,yān
戒严	jiè,yán
戒指	jiè,zhǐ
届满	jiè,mǎn
届时	jiè,shí
界碑	jiè,bēi
界标	jiè,biāo
界定	jiè,dìng
界河	jiè,hé
界面	jiè,miàn
界首	jiè,shǒu
界限	jiè,xiàn
界线	jiè,xiàn
界域	jiè,yù
界址	jiè,zhǐ
界桩	jiè,zhuāng
疥虫	jiè,chóng
疥疮	jiè,chuāng
疥癣	jiè,xuǎn
借词	jiè,cí
借代	jiè,dài
借贷	jiè,dài
借端	jiè,duān
借方	jiè,fāng
借故	jiè,gù
借光	jiè,guāng
借火	jiè,huǒ
借鉴	jiè,jiàn
借镜	jiè,jìng
借口	jiè,kǒu
借款	jiè,kuǎn
借取	jiè,qǔ
借势	jiè,shì
借位	jiè,wèi
借问	jiè,wèn
借以	jiè,yǐ
借用	jiè,yòng
借喻	jiè,yù
借阅	jiè,yuè
借债	jiè,zhài
借账	jiè,zhàng
借支	jiè,zhī
借住	jiè,zhù
巾帼	jīn,guó
斤斤	jīn,jīn
斤两	jīn,liǎng
今儿	jīn,ér
今后	jīn,hòu
今年	jīn,nián
今人	jīn,rén
今日	jīn,rì
今生	jīn,shēng
今世	jīn,shì
今岁	jīn,suì
今天	jīn,tiān
今文	jīn,wén
今夕	jīn,xī
今昔	jīn,xī
今宵	jīn,xiāo
今译	jīn,yì
今音	jīn,yīn
金笔	jīn,bǐ
金币	jīn,bì
金边	jīn,biān
金箔	jīn,bó
金钗	jīn,chāi
金城	jīn,chéng
金疮	jīn,chuāng
金丹	jīn,dān
金额	jīn,é
金发	jīn,fà
金粉	jīn,fěn
金刚	jīn,gāng
金工	jīn,gōng
金瓜	jīn,guā
金光	jīn,guāng
金贵	jīn,guì
金桂	jīn,guì
金衡	jīn,héng
金花	jīn,huā
金黄	jīn,huáng
金婚	jīn,hūn
金鸡	jīn,jī
金橘	jīn,jú
金库	jīn,kù
金矿	jīn,kuàng
金兰	jīn,lán
金莲	jīn,lián
金陵	jīn,líng
金马	jīn,mǎ
金门	jīn,mén
金牛	jīn,niú
金瓯	jīn,ōu
金牌	jīn,pái
金铺	jīn,pū
金器	jīn,qì
金钱	jīn,qián
金秋	jīn,qiū
金融	jīn,róng
金色	jīn,sè
金砂	jīn,shā
金山	jīn,shān
金水	jīn,shuǐ
金丝	jīn,sī
金松	jīn,sōng
金坛	jīn,tán
金堂	jīn,táng
金文	jīn,wén
金溪	jīn,xī
金星	jīn,xīng
金牙	jīn,yá
金言	jīn,yán
金银	jīn,yín
金印	jīn,yìn
金鱼	jīn,yú
金玉	jīn,yù
金元	jīn,yuán
金盏	jīn,zhǎn
金针	jīn,zhēn
金珠	jīn,zhū
金柱	jīn,zhù
金砖	jīn,zhuān
金子	jīn,zi
金字	jīn,zì
津津	jīn,jīn
津梁	jīn,liáng
津市	jīn,shì
津贴	jīn,tiē
津液	jīn,yè
筋道	jīn,dào
筋膜	jīn,mó
筋肉	jīn,ròu
襟怀	jīn,huái
紧绷	jǐn,bēng
紧逼	jǐn,bī
紧闭	jǐn,bì
紧凑	jǐn,còu
紧促	jǐn,cù
紧跟	jǐn,gēn
紧固	jǐn,gù
紧急	jǐn,jí
紧紧	jǐn,jǐn
紧靠	jǐn,kào
紧邻	jǐn,lín
紧忙	jǐn,máng
紧密	jǐn,mì
紧缺	jǐn,quē
紧身	jǐn,shēn
紧锁	jǐn,suǒ
紧贴	jǐn,tiē
紧握	jǐn,wò
紧张	jǐn,zhāng
锦标	jǐn,biāo
锦缎	jǐn,duàn
锦鸡	jǐn,jī
锦江	jǐn,jiāng
锦葵	jǐn,kuí
锦旗	jǐn,qí
锦绣	jǐn,xiù
锦州	jǐn,zhōu
谨饬	jǐn,chì
谨防	jǐn,fáng
谨慎	jǐn,shèn
谨严	jǐn,yán
尽速	jìn,sù
尽早	jìn,zǎo
进逼	jìn,bī
进兵	jìn,bīng
进步	jìn,bù
进餐	jìn,cān
进呈	jìn,chéng
进城	jìn,chéng
进程	jìn,chéng
进出	jìn,chū
进抵	jìn,dǐ
进而	jìn,ér
进犯	jìn,fàn
进奉	jìn,fèng
进攻	jìn,gōng
进贡	jìn,gòng
进货	jìn,huò
进击	jìn,jī
进谏	jìn,jiàn
进京	jìn,jīng
进境	jìn,jìng
进军	jìn,jūn
进口	jìn,kǒu
进款	jìn,kuǎn
进来	jìn,lái
进路	jìn,lù
进门	jìn,mén
进取	jìn,qǔ
进去	jìn,qù
进入	jìn,rù
进深	jìn,shēn
进士	jìn,shì
近代	jìn,dài
近道	jìn,dào
近东	jìn,dōng
近古	jìn,gǔ
近海	jìn,hǎi
近乎	jìn,hū
近郊	jìn,jiāo
近况	jìn,kuàng
近来	jìn,lái
近邻	jìn,lín
近路	jìn,lù
近年	jìn,nián
近前	jìn,qián
近情	jìn,qíng
近人	jìn,rén
近日	jìn,rì
近世	jìn,shì
近视	jìn,shì
近闻	jìn,wén
近洋	jìn,yáng
近因	jìn,yīn
近影	jìn,yǐng
近忧	jìn,yōu
近于	jìn,yú
近缘	jìn,yuán
近月	jìn,yuè
近战	jìn,zhàn
近照	jìn,zhào
妗子	jìn,zǐ
晋级	jìn,jí
晋剧	jìn,jù
晋升	jìn,shēng
晋谒	jìn,yè
晋职	jìn,zhí
浸沉	jìn,chén
浸出	jìn,chū
浸剂	jìn,jì
浸染	jìn,rǎn
浸润	jìn,rùn
浸蚀	jìn,shí
浸水	jìn,shuǐ
浸透	jìn,tòu
浸渍	jìn,zì
缙绅	jìn,shēn
缙云	jìn,yún
噤声	jìn,shēng
京白	jīng,bái
京报	jīng,bào
京菜	jīng,cài
京城	jīng,chéng
京官	jīng,guān
京胡	jīng,hú
京畿	jīng,jī
京剧	jīng,jù
京门	jīng,mén
京派	jīng,pài
京腔	jīng,qiāng
京师	jīng,shī
京兆	jīng,zhào
京族	jīng,zú
泾川	jīng,chuān
经办	jīng,bàn
经部	jīng,bù
经常	jīng,cháng
经典	jīng,diǎn
经费	jīng,fèi
经管	jīng,guǎn
经籍	jīng,jí
经久	jīng,jiǔ
经理	jīng,lǐ
经历	jīng,lì
经年	jīng,nián
经纱	jīng,shā
经商	jīng,shāng
经世	jīng,shì
经手	jīng,shǒu
经受	jīng,shòu
经售	jīng,shòu
经书	jīng,shū
经堂	jīng,táng
经痛	jīng,tòng
经纬	jīng,wěi
经文	jīng,wén
经线	jīng,xiàn
经销	jīng,xiāo
经心	jīng,xīn
经学	jīng,xué
经验	jīng,yàn
经意	jīng,yì
经营	jīng,yíng
经由	jīng,yóu
荆棘	jīng,jí
荆门	jīng,mén
荆榛	jīng,zhēn
荆州	jīng,zhōu
惊怪	jīng,guài
惊呼	jīng,hū
惊叫	jīng,jiào
惊惧	jīng,jù
惊梦	jīng,mèng
惊涛	jīng,tāo
惊羡	jīng,xiàn
惊心	jīng,xīn
惊醒	jīng,xǐng
晶格	jīng,gé
晶亮	jīng,liàng
晶莹	jīng,yíng
粳稻	jīng,dào
粳米	jīng,mǐ
精白	jīng,bái
精兵	jīng,bīng
精彩	jīng,cǎi
精巢	jīng,cháo
精诚	jīng,chéng
精纯	jīng,chún
精粹	jīng,cuì
精到	jīng,dào
精工	jīng,gōng
精怪	jīng,guài
精光	jīng,guāng
精悍	jīng,hàn
精魂	jīng,hún
精简	jīng,jiǎn
精进	jīng,jìn
精矿	jīng,kuàng
精力	jīng,lì
精练	jīng,liàn
精炼	jīng,liàn
精良	jīng,liáng
精料	jīng,liào
精灵	jīng,líng
精美	jīng,měi
精密	jīng,mì
精妙	jīng,miào
精明	jīng,míng
精品	jīng,pǐn
精气	jīng,qì
精巧	jīng,qiǎo
精确	jīng,què
精肉	jīng,ròu
精锐	jīng,ruì
精深	jīng,shēn
精神	jīng,shén
精瘦	jīng,shòu
精髓	jīng,suǐ
精通	jīng,tōng
精微	jīng,wēi
精细	jīng,xì
精心	jīng,xīn
精选	jīng,xuǎn
精盐	jīng,yán
精液	jīng,yè
精英	jīng,yīng
精油	jīng,yóu
精于	jīng,yú
精湛	jīng,zhàn
精制	jīng,zhì
精致	jīng,zhì
精忠	jīng,zhōng
精装	jīng,zhuāng
精壮	jīng,zhuàng
精子	jīng,zǐ
鲸吞	jīng,tūn
鲸须	jīng,xū
鲸鱼	jīng,yú
井灌	jǐng,guàn
井架	jǐng,jià
井陉	jǐng,xíng
井径	jǐng,jìng
井口	jǐng,kǒu
井然	jǐng,rán
井绳	jǐng,shéng
井田	jǐng,tián
井蛙	jǐng,wā
井盐	jǐng,yán
颈椎	jǐng,zhuī
颈子	jǐng,zǐ
憬悟	jǐng,wù
警报	jǐng,bào
警备	jǐng,bèi
警察	jǐng,chá
警笛	jǐng,dí
警告	jǐng,gào
警官	jǐng,guān
警戒	jǐng,jiè
警铃	jǐng,líng
警犬	jǐng,quǎn
警容	jǐng,róng
警士	jǐng,shì
警示	jǐng,shì
警世	jǐng,shì
警探	jǐng,tàn
警惕	jǐng,tì
警卫	jǐng,wèi
警务	jǐng,wù
警械	jǐng,xiè
警醒	jǐng,xǐng
警讯	jǐng,xùn
警钟	jǐng,zhōng
径迹	jìng,jì
径流	jìng,liú
径赛	jìng,sài
径庭	jìng,tíng
径向	jìng,xiàng
径直	jìng,zhí
径自	jìng,zì
痉挛	jìng,luán
竞渡	jìng,dù
竞技	jìng,jì
竞赛	jìng,sài
竞秀	jìng,xiù
竞选	jìng,xuǎn
竞艳	jìng,yàn
竞争	jìng,zhēng
竞逐	jìng,zhú
竞走	jìng,zǒu
敬爱	jìng,ài
敬辞	jìng,cí
敬奉	jìng,fèng
敬告	jìng,gào
敬贺	jìng,hè
敬酒	jìng,jiǔ
敬老	jìng,lǎo
敬礼	jìng,lǐ
敬慕	jìng,mù
敬佩	jìng,pèi
敬颂	jìng,sòng
敬挽	jìng,wǎn
敬畏	jìng,wèi
敬献	jìng,xiàn
敬香	jìng,xiāng
敬意	jìng,yì
敬赠	jìng,zèng
敬祝	jìng,zhù
靖康	jìng,kāng
静安	jìng,ān
静电	jìng,diàn
静候	jìng,hòu
静寂	jìng,jì
静静	jìng,jìng
静谧	jìng,mì
静默	jìng,mò
静穆	jìng,mù
静僻	jìng,pì
静室	jìng,shì
静态	jìng,tài
静听	jìng,tīng
静物	jìng,wù
静心	jìng,xīn
静养	jìng,yǎng
静园	jìng,yuán
静止	jìng,zhǐ
静坐	jìng,zuò
境界	jìng,jiè
境况	jìng,kuàng
境域	jìng,yù
境遇	jìng,yù
镜框	jìng,kuàng
镜子	jìng,zi
迥然	jiǒng,rán
迥异	jiǒng,yì
炯炯	jiǒng,jiǒng
窘促	jiǒng,cù
窘境	jiǒng,jìng
窘况	jiǒng,kuàng
窘困	jiǒng,kùn
窘态	jiǒng,tài
纠察	jiū,chá
纠缠	jiū,chán
纠错	jiū,cuò
纠纷	jiū,fēn
纠集	jiū,jí
纠偏	jiū,piān
究办	jiū,bàn
究竟	jiū,jìng
究问	jiū,wèn
赳赳	jiū,jiū
揪痧	jiū,shā
揪心	jiū,xīn
啾唧	jiū,jī
啾啾	jiū,jiū
九鼎	jiǔ,dǐng
九宫	jiǔ,gōng
九龙	jiǔ,lóng
九难	jiǔ,nàn
九泉	jiǔ,quán
九天	jiǔ,tiān
九霄	jiǔ,xiāo
九原	jiǔ,yuán
九月	jiǔ,yuè
九州	jiǔ,zhōu
九转	jiǔ,zhuàn
九族	jiǔ,zú
九钻	jiǔ,zuàn
久病	jiǔ,bìng
久等	jiǔ,děng
久经	jiǔ,jīng
久久	jiǔ,jiǔ
久留	jiǔ,liú
久慕	jiǔ,mù
久违	jiǔ,wéi
久已	jiǔ,yǐ
韭菜	jiǔ,cài
韭黄	jiǔ,huáng
酒保	jiǔ,bǎo
酒杯	jiǔ,bēi
酒菜	jiǔ,cài
酒店	jiǔ,diàn
酒饭	jiǔ,fàn
酒缸	jiǔ,gāng
酒馆	jiǔ,guǎn
酒鬼	jiǔ,guǐ
酒壶	jiǔ,hú
酒花	jiǔ,huā
酒精	jiǔ,jīng
酒具	jiǔ,jù
酒力	jiǔ,lì
酒龄	jiǔ,líng
酒楼	jiǔ,lóu
酒酿	jiǔ,niàng
酒器	jiǔ,qì
酒钱	jiǔ,qián
酒泉	jiǔ,quán
酒色	jiǔ,sè
酒水	jiǔ,shuǐ
酒肆	jiǔ,sì
酒坛	jiǔ,tán
酒徒	jiǔ,tú
酒窝	jiǔ,wō
酒席	jiǔ,xí
酒仙	jiǔ,xiān
酒醒	jiǔ,xǐng
酒筵	jiǔ,yán
酒宴	jiǔ,yàn
酒肴	jiǔ,yáo
酒药	jiǔ,yào
酒意	jiǔ,yì
酒友	jiǔ,yǒu
酒糟	jiǔ,zāo
酒盅	jiǔ,zhōng
酒醉	jiǔ,zuì
旧案	jiù,àn
旧病	jiù,bìng
旧部	jiù,bù
旧故	jiù,gù
旧国	jiù,guó
旧货	jiù,huò
旧迹	jiù,jì
旧交	jiù,jiāo
旧居	jiù,jū
旧历	jiù,lì
旧例	jiù,lì
旧年	jiù,nián
旧情	jiù,qíng
旧日	jiù,rì
旧诗	jiù,shī
旧时	jiù,shí
旧式	jiù,shì
旧事	jiù,shì
旧书	jiù,shū
旧俗	jiù,sú
旧闻	jiù,wén
旧物	jiù,wù
旧习	jiù,xí
旧学	jiù,xué
旧业	jiù,yè
旧友	jiù,yǒu
旧宅	jiù,zhái
旧章	jiù,zhāng
旧账	jiù,zhàng
旧址	jiù,zhǐ
旧制	jiù,zhì
臼齿	jiù,chǐ
救驾	jiù,jià
救应	jiù,yìng
就伴	jiù,bàn
就餐	jiù,cān
就此	jiù,cǐ
就道	jiù,dào
就范	jiù,fàn
就歼	jiù,jiān
就近	jiù,jìn
就里	jiù,lǐ
就聘	jiù,pìn
就擒	jiù,qín
就寝	jiù,qǐn
就让	jiù,ràng
就势	jiù,shì
就事	jiù,shì
就是	jiù,shì
就手	jiù,shǒu
就算	jiù,suàn
就位	jiù,wèi
就席	jiù,xí
就绪	jiù,xù
就学	jiù,xué
就业	jiù,yè
就医	jiù,yī
就义	jiù,yì
就诊	jiù,zhěn
就职	jiù,zhí
就座	jiù,zuò
舅姑	jiù,gū
舅舅	jiù,jiù
舅妈	jiù,mā
舅母	jiù,mǔ
舅爷	jiù,yé
舅子	jiù,zǐ
狙击	jū,jī
居多	jū,duō
居功	jū,gōng
居官	jū,guān
居积	jū,jī
居里	jū,lǐ
居留	jū,liú
居民	jū,mín
居然	jū,rán
居士	jū,shì
居室	jū,shì
居所	jū,suǒ
居心	jū,xīn
居住	jū,zhù
雎鸠	jū,jiū
鞠躬	jū,gōng
鞠养	jū,yǎng
局部	jú,bù
局促	jú,cù
局麻	jú,má
局面	jú,miàn
局势	jú,shì
局外	jú,wài
局限	jú,xiàn
局子	jú,zǐ
橘柑	jú,gān
橘黄	jú,huáng
橘树	jú,shù
橘子	jú,zi
矩形	jǔ,xíng
矩阵	jǔ,zhèn
举哀	jǔ,āi
举办	jǔ,bàn
举报	jǔ,bào
举兵	jǔ,bīng
举步	jǔ,bù
举措	jǔ,cuò
举动	jǔ,dòng
举凡	jǔ,fán
举国	jǔ,guó
举架	jǔ,jià
举荐	jǔ,jiàn
举借	jǔ,jiè
举例	jǔ,lì
举目	jǔ,mù
举人	jǔ,rén
举世	jǔ,shì
举事	jǔ,shì
举债	jǔ,zhài
举止	jǔ,zhǐ
龃龉	jǔ,yǔ
踽踽	jǔ,jǔ
巨变	jù,biàn
巨额	jù,é
巨幅	jù,fú
巨富	jù,fù
巨匠	jù,jiàng
巨款	jù,kuǎn
巨鹿	jù,lù
巨轮	jù,lún
巨人	jù,rén
巨商	jù,shāng
巨细	jù,xì
巨响	jù,xiǎng
巨星	jù,xīng
巨型	jù,xíng
巨野	jù,yě
巨制	jù,zhì
巨子	jù,zǐ
句芒	gōu,máng
拒捕	jù,bǔ
拒斥	jù,chì
拒付	jù,fù
拒绝	jù,jué
拒收	jù,shōu
具保	jù,bǎo
具备	jù,bèi
具名	jù,míng
具文	jù,wén
俱全	jù,quán
倨傲	jù,ào
剧本	jù,běn
剧变	jù,biàn
剧烈	jù,liè
剧目	jù,mù
剧评	jù,píng
剧情	jù,qíng
剧社	jù,shè
剧坛	jù,tán
剧痛	jù,tòng
剧团	jù,tuán
剧务	jù,wù
剧院	jù,yuàn
剧增	jù,zēng
剧照	jù,zhào
剧终	jù,zhōng
剧组	jù,zǔ
剧作	jù,zuò
锯齿	jù,chǐ
锯床	jù,chuáng
锯末	jù,mò
锯屑	jù,xiè
锯子	jù,zǐ
聚变	jù,biàn
聚财	jù,cái
聚餐	jù,cān
聚赌	jù,dǔ
聚光	jù,guāng
聚积	jù,jī
聚集	jù,jí
聚歼	jù,jiān
聚焦	jù,jiāo
聚居	jù,jū
聚敛	jù,liǎn
聚拢	jù,lǒng
聚首	jù,shǒu
聚星	jù,xīng
聚众	jù,zhòng
遽然	jù,rán
捐款	juān,kuǎn
捐弃	juān,qì
捐躯	juān,qū
捐税	juān,shuì
捐献	juān,xiàn
捐赠	juān,zèng
捐资	juān,zī
涓埃	juān,āi
涓滴	juān,dī
涓涓	juān,juān
娟秀	juān,xiù
镌刻	juān,kè
镌镂	juān,lòu
卷次	juàn,cì
卷丹	juàn,dān
卷头	juàn,tóu
卷叶	juàn,yè
倦怠	juàn,dài
倦容	juàn,róng
倦色	juàn,sè
倦意	juàn,yì
绢本	juàn,běn
绢花	juàn,huā
绢丝	juàn,sī
绢子	juàn,zǐ
决策	jué,cè
决定	jué,dìng
决断	jué,duàn
决计	jué,jì
决绝	jué,jué
决口	jué,kǒu
决然	jué,rán
决赛	jué,sài
决胜	jué,shèng
决算	jué,suàn
决心	jué,xīn
决议	jué,yì
决意	jué,yì
决战	jué,zhàn
诀窍	jué,qiào
抉摘	jué,zhāi
绝版	jué,bǎn
绝笔	jué,bǐ
绝壁	jué,bì
绝唱	jué,chàng
绝代	jué,dài
绝顶	jué,dǐng
绝对	jué,duì
绝非	jué,fēi
绝后	jué,hòu
绝技	jué,jì
绝迹	jué,jì
绝交	jué,jiāo
绝经	jué,jīng
绝境	jué,jìng
绝口	jué,kǒu
绝路	jué,lù
绝伦	jué,lún
绝密	jué,mì
绝妙	jué,miào
绝灭	jué,miè
绝品	jué,pǐn
绝情	jué,qíng
绝然	jué,rán
绝色	jué,sè
绝世	jué,shì
绝嗣	jué,sì
绝望	jué,wàng
绝响	jué,xiǎng
绝续	jué,xù
绝学	jué,xué
绝艺	jué,yì
绝育	jué,yù
绝缘	jué,yuán
厥证	jué,zhèng
谲诈	jué,zhà
蕨菜	jué,cài
橛子	jué,zǐ
爵禄	jué,lù
爵士	jué,shì
爵位	jué,wèi
蹶子	jué,zǐ
矍铄	jué,shuò
军备	jūn,bèi
军部	jūn,bù
军刀	jūn,dāo
军队	jūn,duì
军阀	jūn,fá
军法	jūn,fǎ
军费	jūn,fèi
军歌	jūn,gē
军工	jūn,gōng
军功	jūn,gōng
军官	jūn,guān
军管	jūn,guǎn
军规	jūn,guī
军徽	jūn,huī
军婚	jūn,hūn
军火	jūn,huǒ
军机	jūn,jī
军籍	jūn,jí
军舰	jūn,jiàn
军阶	jūn,jiē
军警	jūn,jǐng
军垦	jūn,kěn
军礼	jūn,lǐ
军力	jūn,lì
军粮	jūn,liáng
军列	jūn,liè
军龄	jūn,líng
军旅	jūn,lǚ
军马	jūn,mǎ
军帽	jūn,mào
军民	jūn,mín
军棋	jūn,qí
军旗	jūn,qí
军情	jūn,qíng
军权	jūn,quán
军犬	jūn,quǎn
军人	jūn,rén
军容	jūn,róng
军师	jūn,shī
军士	jūn,shì
军事	jūn,shì
军团	jūn,tuán
军威	jūn,wēi
军伍	jūn,wǔ
军务	jūn,wù
军衔	jūn,xián
军饷	jūn,xiǎng
军械	jūn,xiè
军心	jūn,xīn
军需	jūn,xū
军训	jūn,xùn
军医	jūn,yī
军营	jūn,yíng
军用	jūn,yòng
军邮	jūn,yóu
军援	jūn,yuán
军政	jūn,zhèng
军职	jūn,zhí
军制	jūn,zhì
军装	jūn,zhuāng
均等	jūn,děng
均衡	jūn,héng
均热	jūn,rè
均势	jūn,shì
均摊	jūn,tān
均一	jūn,yī
均匀	jūn,yún
均沾	jūn,zhān
君临	jūn,lín
君权	jūn,quán
君主	jūn,zhǔ
君子	jūn,zǐ
菌柄	jùn,bǐng
菌盖	jùn,gài
菌伞	jùn,sǎn
筠连	jūn,lián
俊杰	jùn,jié
俊美	jùn,měi
俊伟	jùn,wěi
俊秀	jùn,xiù
俊雅	jùn,yǎ
俊彦	jùn,yàn
俊逸	jùn,yì
郡守	jùn,shǒu
郡主	jùn,zhǔ
峻拔	jùn,bá
峻峭	jùn,qiào
骏马	jùn,mǎ
竣工	jùn,gōng
咔叽	kǎ,jī
喀什	kā,shí
开拔	kāi,bá
开班	kāi,bān
开办	kāi,bàn
开本	kāi,běn
开笔	kāi,bǐ
开闭	kāi,bì
开编	kāi,biān
开标	kāi,biāo
开播	kāi,bō
开步	kāi,bù
开衩	kāi,chà
开秤	kāi,chèng
开初	kāi,chū
开除	kāi,chú
开船	kāi,chuán
开春	kāi,chūn
开刀	kāi,dāo
开导	kāi,dǎo
开道	kāi,dào
开冬	kāi,dōng
开动	kāi,dòng
开冻	kāi,dòng
开端	kāi,duān
开恩	kāi,ēn
开饭	kāi,fàn
开方	kāi,fāng
开放	kāi,fàng
开封	kāi,fēng
开赴	kāi,fù
开工	kāi,gōng
开关	kāi,guān
开馆	kāi,guǎn
开光	kāi,guāng
开锅	kāi,guō
开国	kāi,guó
开航	kāi,háng
开河	kāi,hé
开户	kāi,hù
开花	kāi,huā
开怀	kāi,huái
开荒	kāi,huāng
开荤	kāi,hūn
开火	kāi,huǒ
开伙	kāi,huǒ
开机	kāi,jī
开架	kāi,jià
开江	kāi,jiāng
开讲	kāi,jiǎng
开奖	kāi,jiǎng
开胶	kāi,jiāo
开戒	kāi,jiè
开金	kāi,jīn
开襟	kāi,jīn
开进	kāi,jìn
开镜	kāi,jìng
开局	kāi,jú
开具	kāi,jù
开掘	kāi,jué
开课	kāi,kè
开垦	kāi,kěn
开口	kāi,kǒu
开矿	kāi,kuàng
开阔	kāi,kuò
开朗	kāi,lǎng
开列	kāi,liè
开路	kāi,lù
开罗	kāi,luó
开锣	kāi,luó
开门	kāi,mén
开明	kāi,míng
开幕	kāi,mù
开拍	kāi,pāi
开盘	kāi,pán
开篇	kāi,piān
开启	kāi,qǐ
开枪	kāi,qiāng
开腔	kāi,qiāng
开窍	kāi,qiào
开球	kāi,qiú
开赛	kāi,sài
开山	kāi,shān
开设	kāi,shè
开审	kāi,shěn
开始	kāi,shǐ
开市	kāi,shì
开释	kāi,shì
开水	kāi,shuǐ
开膛	kāi,táng
开庭	kāi,tíng
开通	kāi,tōng
开脱	kāi,tuō
开挖	kāi,wā
开外	kāi,wài
开胃	kāi,wèi
开悟	kāi,wù
开先	kāi,xiān
开线	kāi,xiàn
开销	kāi,xiāo
开心	kāi,xīn
开学	kāi,xué
开颜	kāi,yán
开眼	kāi,yǎn
开演	kāi,yǎn
开阳	kāi,yáng
开业	kāi,yè
开印	kāi,yìn
开元	kāi,yuán
开原	kāi,yuán
开凿	kāi,záo
开闸	kāi,zhá
开斋	kāi,zhāi
开展	kāi,zhǎn
开战	kāi,zhàn
开绽	kāi,zhàn
开张	kāi,zhāng
开仗	kāi,zhàng
开征	kāi,zhēng
开支	kāi,zhī
开罪	kāi,zuì
揩布	kāi,bù
揩拭	kāi,shì
揩油	kāi,yóu
凯歌	kǎi,gē
慨然	kǎi,rán
慨叹	kǎi,tàn
慨允	kǎi,yǔn
刊本	kān,běn
刊布	kān,bù
刊登	kān,dēng
刊授	kān,shòu
刊物	kān,wù
刊印	kān,yìn
戡乱	kān,luàn
坎儿	kǎn,ér
坎肩	kǎn,jiān
坎子	kǎn,zǐ
侃侃	kǎn,kǎn
砍刀	kǎn,dāo
砍伐	kǎn,fá
看似	kàn,sì
慷慨	kāng,kǎi
糠秕	kāng,bǐ
亢奋	kàng,fèn
亢进	kàng,jìn
伉俪	kàng,lì
抗癌	kàng,ái
抗辩	kàng,biàn
抗敌	kàng,dí
抗旱	kàng,hàn
抗衡	kàng,héng
抗洪	kàng,hóng
抗击	kàng,jī
抗拒	kàng,jù
抗捐	kàng,juān
抗涝	kàng,lào
抗力	kàng,lì
抗命	kàng,mìng
抗税	kàng,shuì
抗诉	kàng,sù
抗性	kàng,xìng
抗议	kàng,yì
抗御	kàng,yù
抗原	kàng,yuán
抗灾	kàng,zāi
抗战	kàng,zhàn
抗震	kàng,zhèn
抗争	kàng,zhēng
炕席	kàng,xí
炕沿	kàng,yán
炕桌	kàng,zhuō
考妣	kǎo,bǐ
考察	kǎo,chá
考订	kǎo,dìng
考古	kǎo,gǔ
考官	kǎo,guān
考绩	kǎo,jì
考究	kǎo,jiū
考虑	kǎo,lǜ
考评	kǎo,píng
考勤	kǎo,qín
考取	kǎo,qǔ
考生	kǎo,shēng
考试	kǎo,shì
考释	kǎo,shì
考问	kǎo,wèn
考验	kǎo,yàn
考证	kǎo,zhèng
拷贝	kǎo,bèi
拷绸	kǎo,chóu
拷问	kǎo,wèn
栲胶	kǎo,jiāo
栲栳	kǎo,lǎo
烤电	kǎo,diàn
烤火	kǎo,huǒ
烤炉	kǎo,lú
烤肉	kǎo,ròu
烤箱	kǎo,xiāng
烤鸭	kǎo,yā
烤烟	kǎo,yān
